,age,education,spouse_education,children,religion,work,spouse_occupation,living_standard,media_exposure,contraceptive_method
182,42,1,3,12,1,1,3,3,0,1
651,21,3,3,1,1,1,3,3,0,3
1202,47,1,1,4,1,1,2,2,0,1
157,32,2,4,4,1,1,3,2,0,1
456,36,4,4,3,1,1,1,4,0,2
1354,43,4,4,2,1,1,1,4,0,3
198,30,1,1,5,1,1,2,2,0,1
1466,42,2,4,6,1,1,2,4,0,3
440,32,4,4,4,1,1,2,4,0,2
102,27,2,4,3,1,0,3,2,0,1
1282,43,3,3,6,1,0,3,2,0,2
569,39,4,4,3,0,0,1,4,0,2
984,32,4,4,3,1,0,1,4,0,3
289,35,1,3,0,1,1,2,2,1,1
44,28,2,2,1,1,1,3,2,0,1
1454,31,3,4,5,1,1,1,4,0,3
212,26,3,4,3,1,1,3,2,0,1
680,27,2,4,4,1,1,2,1,0,3
824,29,3,4,5,1,1,1,2,0,3
128,43,1,3,2,1,0,2,2,1,1
1031,32,3,4,0,1,1,3,4,0,1
814,17,3,4,1,1,1,2,1,0,3
1009,42,2,3,2,1,1,1,4,0,1
1118,28,4,4,5,1,1,1,4,0,1
294,29,4,4,1,1,1,1,3,0,1
1240,32,3,3,4,1,0,3,3,0,2
1235,26,3,4,3,1,1,2,3,0,2
666,37,3,4,5,1,0,2,4,0,3
1102,20,3,4,2,1,1,3,2,0,1
1361,29,3,3,2,1,1,3,2,0,3
313,40,4,4,2,1,1,3,4,0,1
748,35,3,4,4,1,1,1,4,0,3
930,37,3,4,4,0,1,2,4,0,3
1257,41,4,4,3,1,0,2,3,0,2
497,26,4,4,1,0,1,2,4,0,2
300,29,1,2,7,1,1,2,4,0,1
738,32,4,4,2,0,0,1,4,0,3
735,24,2,2,2,1,1,3,4,0,3
584,42,4,4,3,1,0,1,4,0,2
887,30,4,4,3,0,0,2,4,0,3
373,39,3,4,3,1,1,1,4,0,1
299,26,4,4,1,1,1,1,4,0,1
1421,34,2,3,3,0,1,3,2,1,3
659,27,3,3,1,1,0,3,3,0,3
798,29,3,3,3,1,1,2,1,0,3
1042,29,2,4,0,1,0,3,4,0,1
176,28,4,4,0,0,1,1,3,0,1
108,29,2,3,2,1,1,3,1,0,1
1216,31,4,4,4,1,1,3,3,0,2
894,35,4,3,2,0,1,3,4,0,3
917,22,3,4,2,0,1,3,4,0,3
1220,28,3,4,3,1,1,1,4,0,2
1410,21,4,4,2,1,1,3,3,0,3
714,30,3,3,7,1,1,3,4,0,3
810,19,3,3,1,1,1,2,1,0,3
1002,27,2,4,1,1,0,1,1,0,1
1156,31,3,4,3,0,0,2,4,0,1
362,37,1,3,0,1,1,3,4,0,1
244,32,3,4,4,1,1,1,4,0,1
418,26,4,4,2,1,0,1,4,0,2
267,42,3,4,10,1,0,3,2,0,1
109,26,2,3,3,1,1,3,1,0,1
399,46,1,2,3,1,1,2,1,1,1
914,36,4,4,3,0,0,2,4,0,3
1020,27,1,2,4,1,1,1,4,1,1
9,45,1,1,8,1,1,2,2,1,1
668,33,2,4,3,1,1,2,4,0,3
865,25,2,3,2,1,1,3,1,0,3
190,30,1,2,4,1,1,4,1,0,1
372,17,2,3,1,1,1,3,2,0,1
243,22,4,4,2,1,1,1,3,0,1
1115,21,4,4,1,1,1,3,4,0,1
1025,33,4,4,2,0,1,1,4,0,1
1255,21,3,4,3,1,1,1,4,0,2
112,21,4,4,1,1,1,1,4,0,1
201,22,2,4,0,1,1,3,3,0,1
1452,26,3,2,4,1,1,3,4,0,3
1104,22,4,4,0,1,1,2,1,1,1
164,34,4,4,4,1,1,2,3,0,1
878,27,4,4,2,1,1,3,4,0,3
510,29,4,4,2,1,1,1,4,0,2
507,35,3,4,5,1,0,1,3,1,2
1184,29,3,4,2,1,1,3,4,0,1
305,23,4,4,2,1,0,3,3,0,1
520,35,3,3,6,1,1,2,3,0,2
840,32,4,3,3,1,1,2,4,0,3
37,25,3,3,4,1,1,3,2,0,1
1113,25,2,3,2,1,1,3,2,0,1
805,33,2,4,3,1,1,3,4,0,3
1225,30,2,2,7,1,1,3,4,0,2
436,28,2,1,2,1,0,3,3,0,2
528,29,4,4,2,1,0,1,3,0,2
344,21,4,4,1,1,1,3,3,0,1
90,25,2,3,0,1,1,2,1,0,1
478,42,4,4,6,1,1,1,3,0,2
326,44,1,3,4,1,1,3,3,1,1
62,47,1,2,2,1,0,1,3,0,1
57,37,3,4,7,1,1,2,1,0,1
902,27,3,4,2,1,1,1,3,0,3
292,47,1,2,2,1,1,2,4,0,1
1372,25,4,4,2,1,1,3,3,0,3
462,36,4,4,3,1,1,1,4,0,2
387,19,4,4,0,0,1,3,4,0,1
1209,46,4,4,6,1,1,1,4,0,1
21,24,3,4,0,1,0,3,1,0,1
848,25,2,3,2,1,1,2,4,0,3
1373,33,4,4,2,1,0,1,4,0,3
856,28,2,3,3,1,1,3,4,0,3
864,32,1,4,4,1,1,3,2,0,3
670,20,3,3,2,1,1,2,4,0,3
208,32,4,4,1,1,1,1,4,0,1
114,21,3,4,0,1,1,1,3,0,1
970,31,4,4,1,1,1,1,4,0,3
1288,28,3,4,2,0,1,2,3,0,2
1392,30,2,2,2,1,1,3,2,0,3
1340,24,2,4,3,1,1,3,3,0,3
52,40,3,4,8,1,1,3,3,0,1
151,21,1,3,4,1,1,3,2,0,1
41,47,2,3,0,1,0,1,3,0,1
1326,35,2,2,6,1,0,2,2,1,3
644,40,3,4,5,1,1,1,2,0,3
701,36,2,3,7,1,1,3,3,0,3
315,37,2,3,5,0,0,2,4,0,1
721,46,4,4,4,1,1,1,4,0,3
561,49,3,3,11,1,1,1,4,0,2
542,36,3,4,7,1,1,2,2,0,2
1405,47,1,3,9,1,0,3,3,0,3
1033,47,2,2,4,1,1,3,1,0,1
219,31,3,3,2,1,0,2,3,0,1
1402,25,3,4,2,1,1,3,3,0,3
1396,35,2,3,6,1,0,3,2,0,3
1017,35,4,4,1,1,1,1,3,0,1
1351,21,3,2,1,1,1,3,1,1,3
1019,38,2,4,3,1,1,1,3,0,1
777,37,4,4,3,1,0,1,4,0,3
291,36,4,4,4,1,1,1,4,0,1
706,33,3,4,4,1,0,2,4,0,3
1468,33,4,4,2,1,0,2,4,0,3
560,38,4,4,3,1,0,1,4,0,2
570,36,4,4,3,0,1,2,4,0,2
205,22,2,3,2,1,1,3,1,0,1
785,27,3,3,3,1,1,2,2,0,3
1116,19,4,4,1,1,1,1,3,0,1
345,28,4,4,1,0,1,2,4,0,1
676,33,4,4,5,1,1,1,4,0,3
1050,34,3,4,4,1,1,1,3,0,1
734,33,2,2,7,1,0,2,3,0,3
782,40,4,4,4,1,1,1,4,0,3
614,38,4,4,4,0,1,3,4,0,2
656,20,3,4,2,1,1,1,3,0,3
4,36,3,3,8,1,1,3,2,0,1
23,39,4,4,1,1,1,1,4,0,1
301,29,4,2,0,1,0,2,2,0,1
298,28,4,4,3,0,1,1,4,0,1
49,26,4,4,0,1,0,1,4,0,1
273,49,2,4,6,0,1,2,3,0,1
875,29,4,4,3,1,0,1,4,0,3
1170,46,1,2,7,1,1,3,1,1,1
620,38,4,4,6,1,1,1,4,0,2
27,29,4,4,0,1,0,1,4,0,1
733,19,2,4,1,1,1,2,3,0,3
907,25,3,3,2,1,1,2,3,0,3
1151,22,3,4,2,1,1,3,3,0,1
934,46,4,4,4,0,1,1,4,0,3
1359,29,2,4,4,1,1,3,2,0,3
175,32,2,4,0,1,0,3,4,0,1
1417,46,2,2,5,1,1,2,4,0,3
567,34,3,4,2,0,1,2,3,0,2
1075,45,3,4,0,1,1,1,3,0,1
1114,27,3,4,0,1,0,3,3,0,1
166,49,3,4,5,1,1,1,4,0,1
368,34,2,3,7,1,0,3,3,0,1
463,37,4,4,3,1,1,1,4,0,2
1097,39,3,1,1,1,1,2,3,0,1
285,44,4,4,5,0,1,2,4,0,1
1158,47,3,2,5,1,1,4,4,0,1
54,36,2,4,5,1,1,2,3,0,1
117,44,3,4,1,1,1,1,3,0,1
939,34,4,4,6,1,1,2,2,0,3
173,22,3,3,2,1,1,3,4,0,1
123,20,2,3,1,0,1,3,2,0,1
1303,48,4,4,7,1,0,1,4,0,2
10,38,1,3,2,1,0,3,3,1,1
541,26,4,4,1,1,0,1,3,0,2
239,20,3,3,1,1,1,2,3,0,1
548,41,4,4,4,1,1,1,4,0,2
162,44,1,3,0,1,1,2,3,0,1
395,37,4,4,2,0,1,1,4,0,1
707,27,3,3,3,1,1,2,3,0,3
223,22,1,2,0,1,1,2,4,0,1
947,35,1,2,4,1,0,4,4,0,3
758,48,3,4,3,1,1,2,3,0,3
100,27,1,2,4,1,1,3,1,1,1
1134,27,3,4,0,1,1,3,3,0,1
697,27,3,4,2,1,1,3,2,0,3
1040,43,2,3,3,0,1,2,3,0,1
663,30,4,4,1,1,1,1,4,0,3
655,29,4,4,2,1,1,3,4,0,3
966,30,3,3,4,1,0,2,2,0,3
595,42,4,4,5,1,1,1,4,0,2
338,25,4,4,0,1,0,2,4,0,1
369,23,3,3,6,1,1,3,3,0,1
565,22,4,4,1,1,1,1,3,0,2
1425,33,2,3,4,1,1,2,3,0,3
1291,27,4,4,1,1,1,1,4,0,2
426,39,4,4,4,1,1,1,4,0,2
144,30,2,4,2,1,1,3,4,0,1
1060,42,4,4,1,1,0,1,4,0,1
590,17,4,4,1,1,1,2,4,0,2
0,24,2,3,3,1,1,2,3,0,1
958,41,3,3,7,0,1,2,4,0,3
195,45,1,2,6,1,1,3,3,1,1
79,38,4,4,1,1,0,1,4,0,1
469,42,2,4,8,1,1,1,4,0,2
490,23,4,3,3,1,1,3,3,0,2
833,21,3,3,1,1,1,3,3,0,3
996,25,2,3,4,1,0,3,2,0,3
988,25,2,3,5,1,1,2,3,0,3
1127,44,1,2,2,1,1,3,1,0,1
809,23,3,3,1,1,1,2,2,0,3
1367,44,4,4,5,1,0,1,4,0,3
393,25,3,3,0,1,1,3,4,0,1
891,30,4,4,2,0,0,3,3,0,3
277,35,2,3,0,1,1,2,4,0,1
1445,36,4,4,3,0,1,3,4,0,3
91,46,2,4,6,1,1,1,4,0,1
170,47,4,4,4,1,1,1,4,0,1
272,25,3,4,1,1,1,2,1,0,1
75,21,3,4,1,1,1,2,3,0,1
866,26,1,2,3,1,0,3,2,0,3
324,28,4,4,1,0,1,1,3,0,1
1090,21,2,4,0,1,1,2,2,0,1
1393,20,3,3,2,1,1,2,2,1,3
1334,35,3,4,4,1,0,1,4,0,3
56,43,4,4,5,1,0,1,4,0,1
797,27,4,4,1,0,0,1,3,0,3
87,35,4,4,3,0,1,1,4,0,1
987,31,4,4,3,1,1,4,4,0,3
107,44,3,4,4,1,0,1,3,0,1
536,28,4,4,2,1,0,1,3,0,2
236,37,2,3,5,1,0,3,2,0,1
711,39,3,4,2,1,1,1,3,0,3
498,44,4,4,5,1,0,1,4,0,2
761,43,3,3,8,1,1,1,3,0,3
1469,33,4,4,3,1,1,1,4,0,3
1315,34,4,4,2,0,0,3,2,0,2
357,22,2,4,4,1,1,3,4,0,1
269,47,1,1,6,1,0,3,1,0,1
461,34,4,4,2,1,1,1,4,0,2
74,21,3,4,0,1,1,2,3,0,1
59,49,4,4,6,1,1,1,2,0,1
404,29,3,4,4,1,0,1,3,0,1
286,22,4,4,0,1,0,1,4,0,1
492,37,4,4,3,1,1,1,4,0,2
571,21,4,4,1,1,1,2,1,0,2
1247,43,1,3,4,1,1,1,4,0,2
1057,27,3,4,2,1,1,1,3,0,1
954,21,3,3,2,1,1,2,3,0,3
1294,23,4,4,1,1,0,3,4,0,2
739,32,4,4,2,1,0,1,3,0,3
1131,45,1,3,7,1,0,1,3,0,1
11,42,1,4,4,1,1,1,3,0,1
1360,24,3,4,4,1,1,3,1,0,3
1423,34,4,4,2,0,1,1,4,0,3
227,45,1,3,1,1,1,2,3,1,1
1353,26,4,4,1,1,0,2,4,0,3
1173,16,2,4,1,1,1,3,4,0,1
26,38,4,4,1,1,0,1,4,0,1
933,28,4,4,2,0,1,2,4,0,3
527,45,3,3,7,1,1,3,4,0,2
1077,33,1,1,5,1,1,3,1,1,1
242,41,1,4,4,1,1,3,3,0,1
727,21,2,3,1,1,0,3,2,0,3
1426,21,3,4,3,1,1,3,1,0,3
1140,22,2,4,1,1,1,3,4,0,1
1193,45,4,4,1,1,1,1,4,0,1
1338,31,4,4,5,1,0,1,4,0,3
890,33,3,4,6,1,1,3,2,0,3
379,46,1,2,8,1,1,3,3,1,1
397,48,1,1,8,1,0,2,2,1,1
71,48,2,3,8,1,1,1,4,0,1
1321,34,3,3,6,1,1,1,4,0,3
1399,21,3,3,1,1,1,3,1,0,3
793,44,3,4,5,1,0,1,4,0,3
505,33,4,4,4,1,1,1,4,0,2
1462,21,4,4,1,0,1,2,4,0,3
1369,22,3,3,1,1,1,3,2,0,3
211,45,1,2,1,1,0,3,3,0,1
1365,24,4,4,1,1,1,2,3,0,3
1461,27,4,4,4,1,1,1,2,1,3
1029,43,3,4,10,1,1,3,3,0,1
619,37,4,4,4,1,1,1,4,0,2
1070,48,1,1,6,1,1,2,3,1,1
353,32,2,2,1,1,1,2,1,0,1
1318,36,4,4,3,1,1,1,4,0,2
479,44,4,4,4,1,0,2,3,0,2
1106,45,3,4,0,1,1,1,3,0,1
513,36,4,4,3,1,0,2,4,0,2
482,24,4,4,1,1,1,3,2,0,2
1217,42,4,4,6,1,1,1,3,0,2
354,35,2,3,8,1,1,3,2,0,1
148,32,4,4,1,1,0,1,3,0,1
1172,34,3,4,4,0,1,3,1,1,1
1072,24,3,4,1,1,0,3,3,0,1
487,40,4,4,4,1,1,1,3,0,2
972,30,4,4,2,1,1,1,4,0,3
645,30,2,2,6,1,1,3,1,0,3
1386,33,4,4,5,1,1,3,3,0,3
363,30,2,3,2,1,0,2,4,0,1
995,21,2,1,3,1,0,3,1,1,3
1201,25,4,4,3,1,1,1,2,0,1
909,31,3,3,3,1,1,3,1,1,3
688,36,4,4,4,0,1,1,4,0,3
905,22,1,3,2,1,1,3,2,0,3
1148,25,3,3,1,1,0,2,4,0,1
1349,24,1,2,3,1,1,3,2,0,3
237,24,4,4,1,1,1,3,3,0,1
1004,23,2,2,2,1,1,3,3,0,1
835,37,2,4,3,1,1,2,3,0,3
63,22,2,3,1,1,1,2,1,0,1
365,20,2,3,3,1,1,3,4,0,1
641,41,4,4,4,1,0,1,4,0,2
1322,24,4,4,2,1,0,3,3,0,3
1319,34,1,2,5,1,1,3,4,0,2
990,23,2,3,3,1,1,2,3,0,3
621,30,3,3,2,1,1,2,3,0,2
1449,19,4,4,1,1,1,2,3,0,3
1345,44,4,4,4,0,1,2,3,0,3
1251,34,3,4,4,1,1,3,3,0,2
1227,26,2,4,2,1,1,1,4,0,2
709,25,4,3,2,1,1,3,3,0,3
759,28,4,4,1,1,1,1,3,0,3
981,37,4,4,3,0,1,3,4,0,3
1375,26,3,3,2,1,0,2,2,0,3
690,38,3,4,3,1,1,3,2,0,3
1052,22,4,4,0,1,0,2,4,0,1
1387,25,3,4,2,1,0,2,4,0,3
335,31,2,2,8,1,1,2,2,1,1
1286,33,3,4,2,1,1,1,4,0,2
1265,35,2,4,4,0,1,3,2,0,2
202,36,2,4,2,1,0,2,4,0,1
812,25,3,3,3,1,1,3,2,0,3
789,20,2,2,2,1,1,3,2,1,3
230,48,1,3,4,1,1,3,4,1,1
1243,22,4,4,1,1,0,2,2,0,2
678,24,3,4,3,1,1,1,4,0,3
1155,20,4,4,0,0,0,2,4,0,1
685,29,3,3,1,1,1,3,3,0,3
775,48,3,4,8,1,0,1,4,0,3
1180,22,3,4,0,1,0,3,4,0,1
1037,37,4,4,2,1,1,1,4,0,1
232,21,3,4,0,1,0,3,1,0,1
662,35,4,4,2,1,1,2,4,0,3
1177,41,1,3,3,1,0,2,4,0,1
341,42,3,3,8,1,1,4,3,0,1
132,48,1,2,8,1,1,3,1,0,1
1391,33,4,4,3,0,0,2,4,0,3
343,45,3,4,3,0,1,3,4,0,1
521,38,4,4,5,1,1,1,3,0,2
254,48,1,3,4,1,1,3,3,1,1
1364,30,3,3,4,1,0,3,2,0,3
283,41,3,3,5,1,1,3,4,0,1
1125,42,3,3,5,1,1,2,2,0,1
82,24,2,4,1,1,0,4,4,0,1
64,27,2,4,1,1,0,1,3,0,1
677,33,3,3,8,1,1,3,4,0,3
929,37,3,4,3,0,1,3,4,0,3
1308,45,3,3,5,0,1,1,3,0,2
770,26,4,4,3,1,1,3,4,0,3
1022,28,3,4,0,1,0,1,3,0,1
1163,41,3,4,3,0,1,2,4,0,1
631,33,4,4,3,1,1,1,4,0,2
1380,31,1,2,4,1,1,3,3,0,3
1045,44,1,4,9,1,1,1,2,0,1
115,37,4,4,1,1,1,1,4,0,1
1192,22,2,1,0,1,1,2,2,0,1
664,29,1,4,3,1,1,4,4,1,3
1290,26,2,2,4,1,1,3,4,0,2
531,45,3,3,8,1,1,2,3,0,2
1088,46,3,1,5,1,1,3,2,0,1
378,18,2,3,1,1,1,2,3,0,1
1008,49,4,4,1,1,1,3,4,0,1
1226,35,4,4,5,1,0,1,4,0,2
121,36,2,3,5,1,1,2,3,0,1
1424,22,2,4,2,1,1,3,2,0,3
1316,44,2,3,1,0,1,2,4,0,2
1242,38,2,3,4,1,1,1,2,0,2
470,31,4,4,3,0,0,4,4,0,2
1099,23,3,4,4,1,1,3,1,1,1
465,38,4,4,2,1,1,1,4,0,2
423,25,2,4,6,1,1,3,4,0,2
1435,37,4,4,6,1,1,1,4,0,3
1049,43,4,4,6,1,1,1,3,0,1
1434,24,4,4,1,1,1,1,3,0,3
374,49,1,3,0,1,1,3,3,1,1
1011,21,2,2,1,1,1,3,2,0,1
827,25,3,3,3,1,1,3,3,0,3
693,34,2,3,2,1,1,2,3,0,3
1448,35,2,3,5,1,1,3,3,0,3
1331,31,2,2,4,1,1,3,3,0,3
1256,47,4,4,4,0,1,2,4,0,2
483,32,3,4,7,0,1,1,3,0,2
849,38,2,3,3,1,1,2,4,0,3
506,22,4,4,1,1,1,1,2,0,2
217,34,3,2,8,1,0,2,3,1,1
1352,25,2,4,2,1,1,2,4,0,3
1071,47,1,2,2,1,1,2,3,1,1
389,20,2,3,1,1,1,3,4,0,1
710,32,2,3,4,1,1,3,2,0,3
1095,20,3,4,1,1,1,3,2,0,1
425,30,4,4,2,0,0,1,4,0,2
1341,36,4,4,4,1,1,1,3,0,3
1272,29,4,4,3,1,1,3,2,0,2
382,37,2,3,2,0,0,3,3,0,1
